service_id,date,exception_type
"30_317572","20150409","1"
"30_317572","20150410","1"
"30_317572","20150411","1"
"30_317572","20150413","1"
"30_317572","20150414","1"
"30_317572","20150415","1"
"30_317572","20150416","1"
"30_317572","20150417","1"
"30_317572","20150418","1"
"30_317572","20150420","1"
"30_317572","20150421","1"
"30_317572","20150422","1"
"30_317572","20150423","1"
"30_317572","20150424","1"
"30_317572","20150427","1"
"30_317572","20150428","1"
"30_317572","20150429","1"
"30_317572","20150430","1"
"30_317572","20150502","1"
"30_317572","20150504","1"
"30_317572","20150505","1"
"30_317572","20150506","1"
"30_317572","20150507","1"
"30_317572","20150508","1"
"30_317572","20150509","1"
"30_317572","20150511","1"
"30_317572","20150512","1"
"30_317572","20150513","1"
"30_317572","20150514","1"
"30_317572","20150515","1"
"30_317572","20150516","1"
"30_317572","20150518","1"
"30_317572","20150519","1"
"30_317572","20150520","1"
"30_317572","20150521","1"
"30_317572","20150522","1"
"30_317572","20150523","1"
"30_317572","20150525","1"
"30_317572","20150526","1"
"30_317572","20150527","1"
"30_317572","20150528","1"
"30_317572","20150529","1"
"30_317572","20150530","1"
"30_317572","20150601","1"
"30_317572","20150603","1"
"30_317572","20150604","1"
"30_317572","20150605","1"
"30_317572","20150606","1"
"30_317572","20150608","1"
"30_317572","20150609","1"
"30_317572","20150610","1"
"30_317572","20150611","1"
"30_317572","20150612","1"
"30_317572","20150613","1"
"30_317572","20150615","1"
"30_317572","20150616","1"
"30_317572","20150617","1"
"30_317572","20150618","1"
"30_317572","20150619","1"
"30_317572","20150620","1"
"30_317572","20150622","1"
"30_317572","20150623","1"
"30_317572","20150624","1"
"30_317572","20150625","1"
"30_317572","20150626","1"
"30_317572","20150627","1"
"30_317572","20150629","1"
"30_317572","20150630","1"
"30_317572","20150701","1"
"30_317572","20150702","1"
"30_317572","20150703","1"
"30_317572","20150704","1"
"30_317572","20150706","1"
"30_317572","20150707","1"
"30_317572","20150708","1"
"30_317572","20150709","1"
"30_317572","20150710","1"
"30_317572","20150711","1"
"30_317572","20150713","1"
"30_317572","20150714","1"
"30_317572","20150715","1"
"30_317572","20150716","1"
"30_317572","20150717","1"
"30_317572","20150718","1"
"30_317572","20150720","1"
"30_317572","20150721","1"
"30_317572","20150722","1"
"30_317572","20150723","1"
"30_317572","20150724","1"
"30_317572","20150725","1"
"30_317572","20150727","1"
"30_317572","20150728","1"
"30_317572","20150729","1"
"30_317572","20150730","1"
"30_317572","20150731","1"
"30_317572","20150801","1"
"30_317572","20150803","1"
"30_317572","20150804","1"
"30_317572","20150805","1"
"30_317572","20150806","1"
"30_317572","20150807","1"
"30_317572","20150808","1"
"30_317572","20150810","1"
"30_317572","20150811","1"
"30_317572","20150812","1"
"30_317572","20150813","1"
"30_317572","20150814","1"
"30_317572","20150817","1"
"30_317572","20150818","1"
"30_317572","20150819","1"
"30_317572","20150820","1"
"30_317572","20150821","1"
"30_317572","20150822","1"
"30_317572","20150824","1"
"30_317572","20150825","1"
"30_317572","20150826","1"
"30_317572","20150827","1"
"30_317572","20150828","1"
"30_317572","20150829","1"
"30_317572","20150831","1"
"30_317572","20150901","1"
"30_317572","20150902","1"
"30_317572","20150903","1"
"30_317572","20150904","1"
"30_317572","20150905","1"
"30_317572","20150907","1"
"30_317572","20150908","1"
"30_317572","20150909","1"
"30_317572","20150910","1"
"30_317572","20150911","1"
"30_317572","20150912","1"
"30_317572","20150914","1"
"30_317572","20150915","1"
"30_317572","20150916","1"
"30_317572","20150917","1"
"30_317572","20150918","1"
"30_317572","20150919","1"
"30_317572","20150921","1"
"30_317572","20150922","1"
"30_317572","20150923","1"
"30_317572","20150924","1"
"30_317572","20150925","1"
"30_317572","20150926","1"
"30_317572","20150928","1"
"30_317572","20150929","1"
"30_317572","20150930","1"
"30_317572","20151001","1"
"30_317572","20151002","1"
"30_317572","20151003","1"
"30_317572","20151005","1"
"30_317572","20151006","1"
"30_317572","20151007","1"
"30_317572","20151008","1"
"30_317572","20151009","1"
"30_317572","20151010","1"
"30_317572","20151012","1"
"30_317572","20151013","1"
"30_317572","20151014","1"
"30_317572","20151015","1"
"30_317572","20151016","1"
"30_317572","20151017","1"
"30_317572","20151019","1"
"30_317572","20151020","1"
"30_317572","20151021","1"
"30_317572","20151022","1"
"30_317572","20151023","1"
"30_317572","20151024","1"
"30_317572","20151026","1"
"30_317572","20151027","1"
"30_317572","20151028","1"
"30_317572","20151029","1"
"30_317572","20151030","1"
"30_317572","20151031","1"
"30_317572","20151102","1"
"30_317572","20151103","1"
"30_317572","20151104","1"
"30_317572","20151105","1"
"30_317572","20151106","1"
"30_317572","20151107","1"
"30_317572","20151109","1"
"30_317572","20151110","1"
"30_317572","20151111","1"
"30_317572","20151112","1"
"30_317572","20151113","1"
"30_317572","20151114","1"
"30_317572","20151116","1"
"30_317572","20151117","1"
"30_317572","20151118","1"
"30_317572","20151119","1"
"30_317572","20151120","1"
"30_317572","20151121","1"
"30_317572","20151123","1"
"30_317572","20151124","1"
"30_317572","20151125","1"
"30_317572","20151126","1"
"30_317572","20151127","1"
"30_317572","20151128","1"
"30_317572","20151130","1"
"30_317572","20151201","1"
"30_317572","20151202","1"
"30_317572","20151203","1"
"30_317572","20151204","1"
"30_317572","20151205","1"
"30_317572","20151207","1"
"30_317572","20151209","1"
"30_317572","20151210","1"
"30_317572","20151211","1"
"30_317572","20151212","1"
"30_317572","20151214","1"
"30_317572","20151215","1"
"30_317572","20151216","1"
"30_317572","20151217","1"
"30_317572","20151218","1"
"30_317572","20151219","1"
"30_317572","20151221","1"
"30_317572","20151222","1"
"30_317572","20151223","1"
"30_317572","20151228","1"
"30_317572","20151229","1"
"30_317572","20151230","1"
"30_317574","20141210","1"
"30_317574","20141211","1"
"30_317574","20141212","1"
"30_317574","20141213","1"
"30_317574","20141215","1"
"30_317574","20141216","1"
"30_317574","20141217","1"
"30_317574","20141218","1"
"30_317574","20141219","1"
"30_317574","20141220","1"
"30_317574","20150108","1"
"30_317574","20150109","1"
"30_317574","20150110","1"
"30_317574","20150112","1"
"30_317574","20150113","1"
"30_317574","20150114","1"
"30_317574","20150115","1"
"30_317574","20150116","1"
"30_317574","20150117","1"
"30_317574","20150119","1"
"30_317574","20150120","1"
"30_317574","20150121","1"
"30_317574","20150122","1"
"30_317574","20150123","1"
"30_317574","20150124","1"
"30_317574","20150126","1"
"30_317574","20150127","1"
"30_317574","20150128","1"
"30_317574","20150129","1"
"30_317574","20150130","1"
"30_317574","20150131","1"
"30_317574","20150202","1"
"30_317574","20150203","1"
